postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
OX7 4EB,SEPD,PSI,1,250518,23,2026-04-13T08:22:34Z,2026-04-13T15:58:20Z,7.6
GU7 3DP,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T12:48:02Z,7.04
GU7 3ES,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T12:48:02Z,7.04
GU7 3ET,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T12:48:02Z,7.04
GU7 3EU,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T12:48:02Z,7.04
GU7 3EW,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T12:48:02Z,7.04
GU7 3EX,SEPD,"PSI,LV",2,"248570,SZ3376",502,2026-04-13T08:22:34Z,2026-04-13T12:48:02Z,7.04
SN11 8TE,SEPD,LV,1,SZ4453,2,2026-04-13T21:35:40Z,2026-04-14T03:42:32Z,6.11
BH16 5BL,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
BH16 5BN,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
BH16 5DA,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
BH16 5DG,SEPD,PSI,1,248175,13,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
BH23 7BG,SEPD,PSI,1,250187,6,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
DT11,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
DT11 7FD,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T14:24:12Z,6.03
