postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
RG26 5EU,SEPD,PSI,1,251074,2,2026-06-07T05:00:33Z,2026-06-13T21:43:08Z,160.71
RG26 5HA,SEPD,PSI,1,251074,2,2026-06-07T05:00:33Z,2026-06-13T21:43:08Z,160.71
SN26 7BJ,SEPD,LV,3,"TH8976,TJ3199,TJ3549",33,2026-06-07T11:41:37Z,2026-06-13T21:43:08Z,81.74
SN26 8AS,SEPD,LV,3,"TH8976,TJ3199,TJ3549",33,2026-06-07T11:41:37Z,2026-06-13T21:43:08Z,81.74
SN26 8DF,SEPD,LV,3,"TH8976,TJ3199,TJ3549",33,2026-06-07T11:41:37Z,2026-06-13T21:43:08Z,81.74
SL1 3LF,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL1 3LG,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL1 3LH,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL1 3LQ,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL1 3PD,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL2 5BD,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL2 5BL,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL2 5DL,SEPD,LV,1,TJ5002,24,2026-06-11T13:45:45Z,2026-06-13T21:43:08Z,55.96
SL0 0NU,SEPD,HV,1,TJ6829,18,2026-06-12T17:28:47Z,2026-06-13T18:57:49Z,25.48
SL0 0NY,SEPD,HV,1,TJ6829,18,2026-06-12T17:28:47Z,2026-06-13T18:57:49Z,25.48
SL0 0PB,SEPD,HV,1,TJ6829,18,2026-06-12T17:28:47Z,2026-06-13T18:57:49Z,25.48
RG24 7NG,SEPD,PSI,1,250335,12,2026-06-10T23:00:52Z,2026-06-11T23:53:07Z,24.87
RG25 2LW,SEPD,PSI,1,250335,12,2026-06-10T23:00:52Z,2026-06-11T23:53:07Z,24.87
PO20 1PT,SEPD,HV,1,TH8309,101,2026-06-07T05:00:33Z,2026-06-08T04:55:57Z,23.92
KW1 5BQ,SHEPD,LV,1,TH6726,5,2026-06-09T14:03:39Z,2026-06-10T11:58:55Z,21.92
RG12 0XA,SEPD,LV,2,"TJ1212,TJ2237",12,2026-06-09T08:21:11Z,2026-06-10T11:58:55Z,19.2
RG12 0XD,SEPD,LV,2,"TJ1212,TJ2237",12,2026-06-09T08:21:11Z,2026-06-10T11:58:55Z,19.2
RG12 0XF,SEPD,LV,2,"TJ1212,TJ2237",12,2026-06-09T08:21:11Z,2026-06-10T11:58:55Z,19.2
RG12 0XG,SEPD,LV,2,"TJ1212,TJ2237",12,2026-06-09T08:21:11Z,2026-06-10T11:58:55Z,19.2
SO23 8SD,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
SO23 8TH,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
SO23 8TQ,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
SO32 8TJ,SEPD,LV,1,TJ7028,16,2026-06-12T19:32:08Z,2026-06-13T14:33:10Z,19.02
PO15 6QH,SEPD,LV,1,TH8845,10,2026-06-10T11:58:55Z,2026-06-11T05:11:59Z,17.22
PO20 1JU,SEPD,"HV,LV",2,"TH8309,TJ0753",103,2026-06-07T05:00:33Z,2026-06-08T17:26:59Z,16.82
PO20 1YU,SEPD,"HV,LV",2,"TH8309,TJ0753",103,2026-06-07T05:00:33Z,2026-06-08T17:26:59Z,16.82
GU8 4TD,SEPD,HV,1,TH8309,101,2026-06-07T05:00:33Z,2026-06-07T21:49:52Z,16.82
PO20 1JX,SEPD,HV,1,TH8309,101,2026-06-07T05:00:33Z,2026-06-07T21:49:52Z,16.82
