postcode,outage_count,outage_refs,first_seen,last_seen
AB42 2XF,2,"SY9581,SZ1521",2026-04-10T14:40:42Z,2026-04-10T23:06:11Z
AB42 2XJ,2,"SY9581,SZ1521",2026-04-10T14:40:42Z,2026-04-10T23:06:11Z
AB42 2YA,2,"SY9581,SZ1521",2026-04-10T14:40:42Z,2026-04-10T23:06:11Z
AB42 2YB,2,"SY9581,SZ1521",2026-04-10T14:40:42Z,2026-04-10T23:06:11Z
AB42 4HT,2,"249444,SY7184",2026-04-07T08:48:02Z,2026-04-07T13:57:07Z
AB42 4JU,2,"249444,SY7184",2026-04-07T08:48:02Z,2026-04-07T13:57:07Z
AB43 6HQ,2,"SZ0176,SZ0121",2026-04-09T15:58:17Z,2026-04-09T18:14:15Z
AB43 6LA,2,"SZ0176,SZ0121",2026-04-09T15:58:17Z,2026-04-09T18:14:15Z
AB43 7HJ,2,"SZ0176,SZ0121",2026-04-09T15:58:17Z,2026-04-09T18:14:15Z
AB43 7LL,2,"SZ0176,SZ0121",2026-04-09T15:58:17Z,2026-04-09T18:14:15Z
AB43 8YH,2,"249444,SY7184",2026-04-07T08:48:02Z,2026-04-07T13:57:07Z
AB51 0AU,2,"250241,249562",2026-04-07T07:45:20Z,2026-04-07T17:36:43Z
AB51 8US,2,"250241,249562",2026-04-07T07:45:20Z,2026-04-07T17:36:43Z
AB53 8QL,2,"250241,249562",2026-04-07T07:45:20Z,2026-04-07T17:36:43Z
BA10 0AL,2,"248512,SZ1039",2026-04-10T09:21:35Z,2026-04-10T14:40:42Z
BA10 0AR,2,"248512,SZ1039",2026-04-10T09:21:35Z,2026-04-10T14:40:42Z
BA10 0BG,2,"248512,SZ1039",2026-04-10T09:21:35Z,2026-04-10T14:40:42Z
BA10 0BQ,2,"248512,SZ1039",2026-04-10T09:21:35Z,2026-04-10T14:40:42Z
BA10 0PD,2,"248512,SZ1039",2026-04-10T09:21:35Z,2026-04-10T14:40:42Z
BA10 0PH,2,"248512,SZ1039",2026-04-10T09:21:35Z,2026-04-10T14:40:42Z
BA12 9LZ,2,"SY9219,SZ1718",2026-04-09T08:47:02Z,2026-04-10T20:05:50Z
BA7 7JE,2,"SY8831,SY9583",2026-04-08T23:49:30Z,2026-04-09T18:14:15Z
FK16 6AZ,2,"SY8612,SY9330",2026-04-08T17:47:08Z,2026-04-09T18:14:15Z
FK16 6BF,2,"SY8612,SY9330",2026-04-08T17:47:08Z,2026-04-09T18:14:15Z
FK16 6EG,2,"SY8612,SY9330",2026-04-08T17:47:08Z,2026-04-09T18:14:15Z
GU33 7LL,2,"249246,SZ0853",2026-04-10T09:21:35Z,2026-04-10T11:28:53Z
GU33 7LR,2,"249246,SZ0853",2026-04-10T09:21:35Z,2026-04-10T11:28:53Z
GU33 7PT,2,"249246,SZ0857",2026-04-10T09:21:35Z,2026-04-10T13:49:27Z
GU33 7PY,2,"249246,SZ0857",2026-04-10T09:21:35Z,2026-04-10T13:49:27Z
GU33 7PZ,2,"249246,SZ0857",2026-04-10T09:21:35Z,2026-04-10T13:49:27Z
GU51 3AA,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
GU51 3AF,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
GU51 3AU,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
GU51 3DH,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
GU51 3DJ,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
GU51 3DL,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
GU51 3PJ,2,"SY7363,SZ1586",2026-04-07T15:20:13Z,2026-04-10T16:35:14Z
HS6 5AN,2,"SY7065,249923",2026-04-07T12:01:55Z,2026-04-09T12:05:06Z
HS6 5BP,2,"SY7065,249923",2026-04-07T12:01:55Z,2026-04-09T12:05:06Z
HS6 5BW,2,"SY7065,249923",2026-04-07T12:01:55Z,2026-04-09T12:05:06Z
IV17 0XZ,2,"249863,249866",2026-04-06T08:50:32Z,2026-04-10T16:35:14Z
IV18 0LH,2,"249863,249866",2026-04-06T08:50:32Z,2026-04-10T16:35:14Z
IV18 0PG,2,"249863,249866",2026-04-06T08:50:32Z,2026-04-10T16:35:14Z
IV23 2RZ,2,"249507,249508",2026-04-06T08:50:32Z,2026-04-07T13:57:07Z
IV23 2SA,2,"249507,249508",2026-04-06T08:50:32Z,2026-04-07T13:57:07Z
IV27 4QG,2,"249013,249011",2026-04-08T08:46:23Z,2026-04-09T14:13:41Z
IV30 8NY,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8NZ,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8PB,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8PU,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8PY,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8PZ,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8RY,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV30 8RZ,2,"SY9208,SZ0260",2026-04-09T08:47:02Z,2026-04-09T18:14:15Z
IV4 7HT,2,"SY5997,249881",2026-04-06T09:58:44Z,2026-04-09T12:05:06Z
IV63 6XE,2,"SY5997,249881",2026-04-06T09:58:44Z,2026-04-09T12:05:06Z
IV7 8EE,2,"249347,249352",2026-04-07T07:45:20Z,2026-04-07T15:20:13Z
KA27 8DT,2,"249088,249743",2026-04-07T08:48:02Z,2026-04-09T14:13:41Z
KA27 8HP,2,"249088,249743",2026-04-07T08:48:02Z,2026-04-09T14:13:41Z
KW1 5AD,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW1 5AF,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW1 5AG,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW1 5AP,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW1 5AT,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW1 5QA,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW1 5QB,2,"SY9572,SZ0816",2026-04-09T12:05:06Z,2026-04-10T12:08:30Z
KW17 2DD,2,"SZ0551,SZ0868",2026-04-10T04:18:33Z,2026-04-10T09:21:35Z
KW17 2DJ,2,"SZ0551,SZ0868",2026-04-10T04:18:33Z,2026-04-10T09:21:35Z
KW17 2DR,2,"SZ0551,SZ0868",2026-04-10T04:18:33Z,2026-04-10T09:21:35Z
KY13 0LF,2,"SY6950,SY7374",2026-04-07T11:08:15Z,2026-04-07T19:43:04Z
OX28 4GE,2,"SY6461,SY7128",2026-04-07T08:48:02Z,2026-04-10T01:10:18Z
OX4 3RZ,2,"SY7408,SY7400",2026-04-07T16:32:58Z,2026-04-07T19:43:04Z
OX4 3SA,2,"SY7408,SY7400",2026-04-07T16:32:58Z,2026-04-07T19:43:04Z
OX4 3SH,2,"SY7447,SY7400",2026-04-07T16:32:58Z,2026-04-07T19:43:04Z
OX4 3SR,2,"SY7447,SY7400",2026-04-07T16:32:58Z,2026-04-07T19:43:04Z
PA20 0DT,2,"SY5661,SY8379",2026-04-06T00:25:52Z,2026-04-08T13:59:28Z
PA20 0DX,2,"SY5661,SY8379",2026-04-06T00:25:52Z,2026-04-08T13:59:28Z
PA20 0EH,2,"SY5661,SY8379",2026-04-06T00:25:52Z,2026-04-08T13:59:28Z
PA20 0EQ,2,"SY5661,SY8379",2026-04-06T00:25:52Z,2026-04-08T13:59:28Z
PA77 6UP,2,"SY5818,SY8952",2026-04-06T03:40:33Z,2026-04-09T07:06:08Z
PA77 6UU,2,"SY5818,SY8952",2026-04-06T03:40:33Z,2026-04-09T07:06:08Z
PA77 6XA,2,"SY5818,SY8952",2026-04-06T03:40:33Z,2026-04-09T09:59:40Z
PO31 8NN,2,"SY7099,SY8349",2026-04-07T13:57:07Z,2026-04-08T12:02:55Z
PO37 6DF,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 6DG,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 6EA,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7AH,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7AN,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7AT,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7AU,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7AX,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7BF,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7BQ,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO37 7BT,2,"SZ0439,SZ0445",2026-04-09T20:34:38Z,2026-04-09T21:31:55Z
PO38,2,"SZ0024,SZ0094",2026-04-09T14:13:41Z,2026-04-09T18:14:15Z
PO38 1SW,2,"SZ0024,SZ0094",2026-04-09T14:13:41Z,2026-04-09T18:14:15Z
RG20 9HZ,2,"249456,SZ1355",2026-04-10T09:21:35Z,2026-04-10T21:50:19Z
RG31 5HB,2,"SY8274,SZ1517",2026-04-08T12:02:55Z,2026-04-10T15:35:36Z
SL1 1DS,2,"SZ1329,SZ1644",2026-04-10T13:49:27Z,2026-04-10T20:55:50Z
SN14 8EN,2,"249753,249754",2026-04-09T08:47:02Z,2026-04-10T11:28:53Z
SO14 3HG,2,"SY8788,SZ1739",2026-04-08T20:57:49Z,2026-04-10T21:50:19Z
SO14 3HH,2,"SY8788,SZ1739",2026-04-08T20:57:49Z,2026-04-10T21:50:19Z
SO15 3HL,2,"SY5701,SY7842",2026-04-06T00:25:52Z,2026-04-08T09:54:45Z
SO15 3HU,2,"SY5701,SY7842",2026-04-06T00:25:52Z,2026-04-08T09:54:45Z
SO15 5EJ,2,"SY5701,SY7842",2026-04-06T00:25:52Z,2026-04-08T09:54:45Z
SO15 5EL,2,"SY5701,SY7842",2026-04-06T00:25:52Z,2026-04-08T09:54:45Z
