postcode,outage_count,outage_refs,first_seen,last_seen
AB51 0AU,2,"250241,249562",2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
AB51 8US,2,"250241,249562",2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
AB53 8QL,2,"250241,249562",2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
IV23 2RZ,2,"249507,249508",2026-04-06T08:50:32Z,2026-04-07T08:48:02Z
IV23 2SA,2,"249507,249508",2026-04-06T08:50:32Z,2026-04-07T08:48:02Z
IV7 8EE,2,"249347,249352",2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
AB41 7JD,1,250163,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4HS,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4HT,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4HX,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4HY,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4HZ,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JA,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JB,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JD,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JE,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JF,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JG,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JH,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JJ,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JU,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JW,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4JX,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4UL,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB42 4YN,1,249501,2026-04-06T08:50:32Z,2026-04-06T13:40:03Z
AB42 4YP,1,249501,2026-04-06T08:50:32Z,2026-04-06T13:40:03Z
AB42 4YX,1,249501,2026-04-06T08:50:32Z,2026-04-06T13:40:03Z
AB43 8QA,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB43 8YH,1,249444,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB51 8QS,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB51 8XA,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB51 8XD,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 5QA,1,249651,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 5UG,1,249651,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8PB,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8QN,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8QP,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8QQ,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8QR,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8QX,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8QY,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8RA,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
AB53 8RB,1,249562,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
BA14 6NW,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BA14 6NX,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BA14 6NY,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BA14 6NZ,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BA14 6PA,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BA14 7PS,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BA14 8RS,1,SY6319,2026-04-06T18:32:08Z,2026-04-06T19:38:31Z
BH12 5EU,1,SY6448,2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
BH12 5EX,1,SY6448,2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
BH12 5EY,1,SY6448,2026-04-07T07:45:20Z,2026-04-07T08:48:02Z
BH21 5QT,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T05:51:28Z
BH21 5QU,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T05:51:28Z
BH21 5QX,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T05:51:28Z
BH21 5QY,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T07:18:46Z
BH21 5RD,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RE,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RF,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RG,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RH,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RJ,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RQ,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T13:40:03Z
BH21 5RS,1,SY5886,2026-04-06T05:51:28Z,2026-04-06T05:51:28Z
BH9 3NY,1,SY6056,2026-04-06T11:05:56Z,2026-04-06T18:32:08Z
BH9 3NZ,1,SY6056,2026-04-06T11:05:56Z,2026-04-06T18:32:08Z
BH9 3PD,1,SY6056,2026-04-06T11:05:56Z,2026-04-06T18:32:08Z
DD11 4QN,1,249974,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DD11 4QS,1,249974,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DD11 4QT,1,249974,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DD11 4QZ,1,249974,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DD11 4RJ,1,249974,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DD4 0PL,1,248902,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DD4 0PN,1,248902,2026-04-07T08:48:02Z,2026-04-07T08:48:02Z
DT2 9NH,1,SY5849,2026-04-06T11:57:41Z,2026-04-06T13:40:03Z
DT2 9NQ,1,SY5849,2026-04-06T11:57:41Z,2026-04-06T13:40:03Z
DT3 4BN,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:32:18Z
DT3 4BP,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:32:18Z
DT3 4BW,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:32:18Z
DT3 4BZ,1,SY5660,2026-04-06T00:25:52Z,2026-04-06T00:32:18Z
