postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
BH19 2SX,SEPD,LV,1,TX2317,8,2026-08-29T17:20:44Z,2026-08-31T17:01:01Z,47.67
BH19 2SZ,SEPD,LV,1,TX2317,8,2026-08-29T17:20:44Z,2026-08-31T17:01:01Z,47.67
BA14 8QE,SEPD,LV,2,"TX2441,TX4741",16,2026-08-29T17:20:44Z,2026-09-01T15:33:44Z,29.09
BA14 8QJ,SEPD,LV,2,"TX2441,TX4741",16,2026-08-29T17:20:44Z,2026-09-01T15:33:44Z,29.09
PO39 0HH,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0HJ,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0HL,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0HN,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0HQ,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0HW,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0JL,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
PO39 0LB,SEPD,LV,1,TX1886,18,2026-08-29T13:24:25Z,2026-08-30T15:00:23Z,25.6
RG10 8NT,SEPD,LV,1,TX6029,3,2026-09-01T23:31:36Z,2026-09-02T21:20:04Z,21.81
RG7 3NZ,SEPD,LV,1,TX1843,12,2026-08-29T13:24:25Z,2026-08-30T10:38:44Z,21.24
TW7 6BX,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6BY,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6DD,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6DE,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6DJ,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6DL,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6GT,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6RE,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6RF,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
TW7 6RH,SEPD,LV,1,TX5909,59,2026-09-01T18:50:36Z,2026-09-02T15:05:26Z,20.25
RG7 3DA,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
RG7 3DB,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
RG7 3DD,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
RG7 3DR,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
RG7 3DY,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
RG7 3DZ,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
RG7 3ED,SEPD,LV,1,TX2623,15,2026-08-29T19:50:16Z,2026-08-30T15:00:23Z,19.17
SL6 2EA,SEPD,HV,2,"TX6065,TX6071",2005,2026-09-01T23:31:36Z,2026-09-02T18:41:07Z,19.16
SL6 2EB,SEPD,HV,2,"TX6065,TX6071",2005,2026-09-01T23:31:36Z,2026-09-02T18:41:07Z,19.16
OX10 0HH,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 0HJ,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 0HL,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 0HN,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 0HQ,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 9AD,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 9AG,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 9AQ,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
OX10 9AW,SEPD,LV,1,TX4723,38,2026-09-01T11:41:40Z,2026-09-02T05:57:39Z,18.27
UB8 2LF,SEPD,LV,1,TX5927,8,2026-09-01T21:28:32Z,2026-09-02T15:05:26Z,17.61
UB8 2LN,SEPD,LV,1,TX5927,8,2026-09-01T21:28:32Z,2026-09-02T15:05:26Z,17.61
RG27 8BS,SEPD,LV,1,TX2376,2,2026-08-29T17:20:44Z,2026-08-30T10:38:44Z,17.3
UB1 3ND,SEPD,LV,2,"TX6067,TX6091",24,2026-09-01T23:31:36Z,2026-09-02T15:05:26Z,15.56
SO23 9LX,SEPD,LV,1,TX6032,9,2026-09-01T23:31:36Z,2026-09-02T15:05:26Z,15.56
SO23 9NP,SEPD,LV,1,TX6032,9,2026-09-01T23:31:36Z,2026-09-02T15:05:26Z,15.56
SO23 9PD,SEPD,LV,1,TX6032,9,2026-09-01T23:31:36Z,2026-09-02T15:05:26Z,15.56
SO23 9PE,SEPD,LV,1,TX6032,9,2026-09-01T23:31:36Z,2026-09-02T15:05:26Z,15.56
UB1 3NE,SEPD,LV,1,TX6067,12,2026-09-01T23:31:36Z,2026-09-02T15:05:26Z,15.56
BA15 1HY,SEPD,LV,1,TX2523,15,2026-08-29T19:50:16Z,2026-08-30T10:38:44Z,14.81
BA15 1HZ,SEPD,LV,1,TX2523,15,2026-08-29T19:50:16Z,2026-08-30T10:38:44Z,14.81
BA15 1JA,SEPD,LV,1,TX2523,15,2026-08-29T19:50:16Z,2026-08-30T10:38:44Z,14.81
BA15 1JB,SEPD,LV,1,TX2523,15,2026-08-29T19:50:16Z,2026-08-30T10:38:44Z,14.81
BA15 1JG,SEPD,LV,1,TX2523,15,2026-08-29T19:50:16Z,2026-08-30T10:38:44Z,14.81
BH12 4AU,SEPD,LV,1,TX2798,13,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
BH12 4BX,SEPD,LV,1,TX2798,13,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
BH12 4BZ,SEPD,LV,1,TX2798,13,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
BH12 4DB,SEPD,LV,1,TX2798,13,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
RG2 9AA,SEPD,LV,1,TX2803,8,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
RG2 9AF,SEPD,LV,1,TX2803,8,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
RG2 9AG,SEPD,LV,1,TX2803,8,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
RG2 9AJ,SEPD,LV,1,TX2803,8,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
RG2 9AL,SEPD,LV,1,TX2803,8,2026-08-29T22:02:58Z,2026-08-30T10:38:44Z,12.6
