postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
GU10 2QD,SEPD,PSI,1,250180,31,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU10 2QE,SEPD,PSI,1,250180,31,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU10 2QL,SEPD,PSI,1,250180,31,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU10 2QP,SEPD,PSI,1,250180,31,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU10 2QR,SEPD,PSI,1,250180,31,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3BX,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3BY,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3BZ,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3DA,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3DJ,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3DL,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3DN,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3EE,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3EF,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3EY,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3FA,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3FJ,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HF,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HG,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HJ,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HN,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HS,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HT,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HU,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HY,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3HZ,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JA,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JB,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JD,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JE,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JF,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JG,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
GU7 3JQ,SEPD,PSI,1,248570,471,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV27 4PT,SHEPD,PSI,1,249018,45,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV27 4PU,SHEPD,PSI,1,249018,45,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV27 4PW,SHEPD,PSI,1,249018,45,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV27 4PX,SHEPD,PSI,1,249018,45,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8GY,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8GZ,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8QG,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8RS,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8SR,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8ST,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8SU,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8SW,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
IV30 8SX,SHEPD,PSI,1,249345,80,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
OX20 1BP,SEPD,PSI,1,250518,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
OX20 1BS,SEPD,PSI,1,250518,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
OX7 4EA,SEPD,PSI,1,250518,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
OX7 4EB,SEPD,PSI,1,250518,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
PH16 5LN,SHEPD,PSI,1,250276,6,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
RG24 9HL,SEPD,PSI,1,249048,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
RG26 5EB,SEPD,PSI,1,249048,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
RG26 5ED,SEPD,PSI,1,249048,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
RG26 5EH,SEPD,PSI,1,249048,23,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
RG26 5HP,SEPD,PSI,1,248985,5,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
RG26 5HW,SEPD,PSI,1,248985,5,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN1 4HP,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN14 7AA,SEPD,PSI,1,249675,12,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN14 7AD,SEPD,PSI,1,249675,12,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN14 8RS,SEPD,PSI,1,249675,12,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN14 8RX,SEPD,PSI,1,249675,12,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN14 8RY,SEPD,PSI,1,249675,12,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN14 8RZ,SEPD,PSI,1,249675,12,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4HZ,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4JA,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4JB,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4JE,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4JF,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4JG,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4JY,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4LA,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4LJ,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SN5 4LL,SEPD,PSI,1,250006,102,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 0JY,SEPD,PSI,1,249751,34,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 0JZ,SEPD,PSI,1,249751,34,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 0LA,SEPD,PSI,1,249751,34,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 0LB,SEPD,PSI,1,249751,34,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 0LF,SEPD,PSI,1,249751,34,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 6EX,SEPD,LV,1,SZ3313,7,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP11 6HA,SEPD,LV,1,SZ3313,7,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP3 4UJ,SEPD,PSI,1,249996,3,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
SP7 0LH,SEPD,PSI,1,249111,140,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
TW13 6BE,SEPD,PSI,1,249516,6,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
TW13 6DH,SEPD,PSI,1,249516,6,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
TW13 6DS,SEPD,PSI,1,249516,6,2026-04-13T08:22:34Z,2026-04-13T10:11:07Z,1.81
PO8 8UX,SEPD,LV,1,SZ3075,8,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
RG42 5JR,SEPD,LV,1,SZ3143,8,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
RG42 5JS,SEPD,LV,1,SZ3143,8,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
RG42 5NH,SEPD,LV,1,SZ3143,8,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
RG42 5NJ,SEPD,LV,1,SZ3143,8,2026-04-13T00:36:31Z,2026-04-13T01:23:00Z,0.77
