postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
GU27 1,SEPD,LV,4,98,182.16
SP3 4,SEPD,"LV,PSI",24,1333,114.62
KW17 2,SHEPD,"HV,PSI",14,370,65.58
DT2 9,SEPD,"HV,PSI",4,8336,61.08
DT2 0,SEPD,PSI,3,121,58.9
SO31 6,SEPD,LV,4,58,52.31
PH16 5,SHEPD,"HV,PSI",16,251,51.54
AB53 8,SHEPD,"LV,PSI",10,115,48.9
SL6 2,SEPD,"LV,PSI",3,109,48.71
IV6 7,SHEPD,"LV,PSI",13,297,44.51
SO32 2,SEPD,"HV,LV,PSI",8,2167,42.59
UB4 8,SEPD,LV,1,11,40.15
FK14 7,SHEPD,PSI,10,309,39.81
IV15 9,SHEPD,"HV,LV",2,100,38.63
HP11 1,SEPD,"LV,PSI",5,239,38.13
SL6 9,SEPD,"HV,LV",3,175,36.74
SN14 7,SEPD,"LV,PSI",8,124,36.17
HS9 5,SHEPD,"LV,PSI",5,140,36.02
PO7 6,SEPD,LV,4,85,35.62
TW14 9,SEPD,LV,3,61,31.23
AB51 0,SHEPD,PSI,4,106,31.16
IV27 4,SHEPD,"HV,PSI",9,730,31.0
AB51 8,SHEPD,PSI,4,70,30.9
BA20 2,SEPD,"HV,LV",4,142,30.39
PA75 6,SHEPD,"HV,PSI",2,22,30.06
IV7 8,SHEPD,PSI,7,211,29.75
OX14 3,SEPD,"HV,LV,PSI",7,5250,29.58
BA10 0,SEPD,"LV,PSI",5,90,29.55
OX14 4,SEPD,"HV,LV,PSI",5,5214,28.35
HP13 6,SEPD,LV,4,125,26.68
DT3 4,SEPD,HV,3,181,26.42
HP11 2,SEPD,LV,2,34,26.36
SN14 8,SEPD,"HV,LV,PSI",7,121,25.61
SN8 3,SEPD,"HV,LV,PSI",7,85,25.07
SP5 3,SEPD,"HV,LV,PSI",4,38,24.42
W5 1,SEPD,LV,2,32,23.81
KW14 8,SHEPD,"HV,LV,PSI",6,147,23.72
BH23 7,SEPD,PSI,5,70,23.69
SN3 1,SEPD,"HV,LV",7,210,23.62
SN11 8,SEPD,LV,5,97,23.45
GU10 4,SEPD,LV,3,32,23.1
OX7 3,SEPD,"HV,LV",7,311,23.06
AB33 8,SHEPD,"HV,LV,PSI",8,176,23.01
SO21 1,SEPD,HV,2,363,22.9
BA14 0,SEPD,LV,2,38,21.58
PH26 3,SHEPD,PSI,4,109,21.16
SP5 1,SEPD,"HV,PSI",2,40,20.65
DD7 7,SHEPD,HV,1,15,20.19
OX11 9,SEPD,"HV,LV,PSI",4,5568,19.97
HP12 3,SEPD,LV,3,71,19.93
OX10 6,SEPD,"HV,PSI",6,5654,19.8
RG26 5,SEPD,PSI,4,262,19.61
RG40 4,SEPD,"HV,LV,PSI",5,335,19.52
BA12 7,SEPD,"HV,LV,PSI",5,52,19.51
SO16 5,SEPD,LV,1,23,19.47
SP3 5,SEPD,PSI,4,355,19.39
AB37 9,SHEPD,PSI,5,105,19.09
BA21 5,SEPD,"HV,LV",3,139,18.95
SO32 1,SEPD,"HV,LV,PSI",3,394,18.76
BH17 7,SEPD,"LV,PSI",5,162,18.39
OX20 1,SEPD,"HV,LV,PSI",5,215,18.26
KA27 8,SHEPD,"HV,PSI",7,212,17.84
BH23 6,SEPD,"HV,LV,PSI",4,107,17.78
IV30 8,SHEPD,"HV,LV,PSI",8,190,17.69
IV22 2,SHEPD,"HV,PSI",4,304,17.65
OX7 5,SEPD,PSI,4,225,17.48
SO50 7,SEPD,"HV,PSI",3,453,17.25
SP4 9,SEPD,PSI,3,337,17.13
HS2 0,SHEPD,"HV,LV,PSI",4,163,17.01
SP11 6,SEPD,"HV,LV,PSI",4,130,16.81
SO18 2,SEPD,"HV,LV",5,2576,16.67
FK17 8,SHEPD,PSI,3,72,16.65
TW13 6,SEPD,"LV,PSI",2,32,16.65
RG30 3,SEPD,HV,1,18,16.49
DT3 5,SEPD,LV,3,123,16.43
GL7 4,SEPD,"HV,LV,PSI",4,215,16.36
DT4 9,SEPD,"HV,LV,PSI",3,312,16.29
PO17 5,SEPD,"HV,LV,PSI",5,1708,16.13
BA12 9,SEPD,"HV,LV",4,48,15.95
OX29 7,SEPD,"HV,LV,PSI",4,82,15.9
OX3 9,SEPD,"LV,PSI",3,91,15.76
SN15 3,SEPD,"HV,LV",3,58,15.61
HP9 2,SEPD,LV,3,30,15.47
SO45 1,SEPD,"LV,PSI",6,74,15.39
BH23 2,SEPD,"HV,LV,PSI",5,121,15.19
RG6 1,SEPD,LV,3,76,15.14
SL7 1,SEPD,"HV,LV",2,202,15.0
RG8 0,SEPD,"HV,LV,PSI",4,75,14.97
OX28 6,SEPD,"LV,PSI",4,141,14.91
SL2 1,SEPD,"HV,LV,PSI",3,141,14.87
SN4 8,SEPD,LV,1,32,14.87
IV23 2,SHEPD,"HV,PSI",3,126,14.84
GU47 0,SEPD,LV,3,71,14.76
PO37 7,SEPD,LV,2,45,14.48
BH16 5,SEPD,"HV,LV,PSI",5,10080,14.44
GU34 4,SEPD,"HV,PSI",4,219,14.18
GU8 6,SEPD,"HV,PSI",4,114,14.12
SP8 4,SEPD,"LV,PSI",3,50,14.02
IV42 8,SHEPD,"LV,PSI",3,98,13.9
SO21 2,SEPD,HV,1,2,13.86
RG41 2,SEPD,HV,1,6,13.44
TW4 7,SEPD,LV,1,46,13.42
HP15 7,SEPD,LV,2,26,13.36
SL6 6,SEPD,HV,1,160,13.31
AB56 5,SHEPD,PSI,2,29,13.27
IV14 9,SHEPD,"HV,LV",3,211,13.12
IV3 5,SHEPD,LV,3,53,13.11
BH20 7,SEPD,"HV,PSI",5,11867,13.0
RG28 7,SEPD,"HV,PSI",3,129,12.86
SN11 0,SEPD,LV,2,60,12.56
BA11 2,SEPD,"HV,LV",3,47,12.46
OX14 5,SEPD,LV,6,203,12.4
OX7 4,SEPD,"HV,PSI",4,251,12.39
SO23 8,SEPD,"HV,LV,PSI",6,526,12.38
BH23 8,SEPD,PSI,4,97,12.36
BH21 4,SEPD,"HV,LV",4,1603,12.22
RG29 1,SEPD,PSI,3,275,12.19
TW8 8,SEPD,"LV,PSI",3,53,12.16
TW8 0,SEPD,LV,2,36,12.16
RG17 0,SEPD,LV,2,32,12.15
SO52 9,SEPD,LV,3,75,12.07
SP6 3,SEPD,PSI,2,160,11.96
PO18 9,SEPD,"HV,LV",3,57,11.85
OX33 1,SEPD,"LV,PSI",3,204,11.8
PO32 6,SEPD,LV,2,21,11.77
OX7 7,SEPD,"HV,PSI",5,287,11.69
SO19 7,SEPD,LV,3,129,11.55
PH2 8,SHEPD,PSI,2,20,11.53
DT11 7,SEPD,"LV,PSI",3,147,11.5
TW14 0,SEPD,"LV,PSI",2,31,11.22
PO39 0,SEPD,"HV,LV",3,525,11.18
SO43 7,SEPD,"LV,PSI",2,68,11.17
IV18 0,SHEPD,"HV,LV",3,611,11.12
GU32 1,SEPD,HV,2,284,11.1
PO14 4,SEPD,LV,1,24,11.09
IV40 8,SHEPD,"LV,PSI",5,117,11.07
SN4 9,SEPD,"HV,PSI",4,214,10.97
DT11 0,SEPD,"LV,PSI",5,92,10.87
AB11 6,SHEPD,"HV,LV,PSI",5,333,10.83
BH1 1,SEPD,"HV,LV",2,1279,10.82
SN6 6,SEPD,"HV,PSI",3,899,10.76
PO20 8,SEPD,LV,2,21,10.71
GU34 5,SEPD,"LV,PSI",4,97,10.66
SN4 7,SEPD,"LV,PSI",5,58,10.63
BH20 6,SEPD,"HV,LV",10,9885,10.52
FK19 8,SHEPD,PSI,2,305,10.5
GU26 6,SEPD,"LV,PSI",4,35,10.48
PH10 6,SHEPD,"LV,PSI",4,45,10.46
PO16 7,SEPD,"HV,PSI",3,1649,10.46
IV2 6,SHEPD,"HV,PSI",2,40,10.45
DD8 1,SHEPD,"LV,PSI",6,211,10.27
PO16 0,SEPD,"LV,PSI",2,39,10.16
BH14 0,SEPD,LV,3,27,10.1
GU10 2,SEPD,PSI,2,59,9.97
SO14 2,SEPD,"HV,LV",2,367,9.97
BH15 4,SEPD,"HV,LV",5,1887,9.94
PH33 7,SHEPD,"LV,PSI",4,85,9.85
SN8 2,SEPD,PSI,4,127,9.74
GU32 2,SEPD,HV,1,141,9.72
GU32 3,SEPD,HV,1,141,9.72
GU34 3,SEPD,HV,1,141,9.72
SP4 7,SEPD,LV,1,23,9.72
SP10 5,SEPD,"LV,PSI",3,42,9.61
HS2 9,SHEPD,"LV,PSI",3,471,9.59
SO45 3,SEPD,"LV,PSI",2,13,9.52
PH2 7,SHEPD,"LV,PSI",3,64,9.5
SN15 5,SEPD,PSI,3,169,9.47
DT11 8,SEPD,PSI,3,155,9.42
SO30 3,SEPD,"LV,PSI",3,118,9.42
SO17 3,SEPD,LV,1,3,9.34
SN6 7,SEPD,"HV,LV,PSI",4,140,9.31
ZE2 9,SHEPD,"HV,LV,PSI",8,250,9.23
UB3 1,SEPD,LV,2,37,9.22
AB55 4,SHEPD,"HV,PSI",2,28,9.21
GU25 4,SEPD,"LV,PSI",2,21,9.18
BH24 2,SEPD,"LV,PSI",2,37,9.17
SO32 3,SEPD,HV,1,361,9.04
BN18 0,SEPD,"LV,PSI",2,25,9.03
KY13 0,SHEPD,PSI,3,47,8.88
AB42 3,SHEPD,PSI,4,39,8.87
AB52 6,SHEPD,PSI,2,67,8.85
SN3 2,SEPD,LV,1,25,8.84
GU14 8,SEPD,"HV,LV",4,521,8.81
HP13 7,SEPD,"LV,PSI",4,224,8.78
OX27 8,SEPD,"HV,PSI",2,52,8.74
SN3 6,SEPD,HV,1,120,8.74
SN4 0,SEPD,HV,1,120,8.74
AB38 7,SHEPD,"HV,LV,PSI",4,110,8.72
SN5 4,SEPD,PSI,3,147,8.67
PA29 6,SHEPD,"HV,PSI",3,26,8.56
PO17 6,SEPD,HV,2,1641,8.51
IV36 2,SHEPD,"HV,PSI",3,147,8.45
KW15 1,SHEPD,PSI,1,2,8.38
AB54 4,SHEPD,PSI,3,23,8.23
AB43 7,SHEPD,PSI,2,83,8.22
GU8 4,SEPD,"LV,PSI",2,27,8.22
AB51 5,SHEPD,PSI,2,24,8.15
AB55 6,SHEPD,PSI,2,88,8.13
RG20 9,SEPD,"HV,LV,PSI",3,68,8.05
W3 6,SEPD,LV,3,72,8.01
PO9 1,SEPD,LV,3,52,7.99
OX18 2,SEPD,LV,3,81,7.98
GU15 3,SEPD,LV,1,9,7.97
SN3 5,SEPD,LV,1,27,7.97
RG27 9,SEPD,PSI,2,77,7.9
SO24 9,SEPD,PSI,2,78,7.87
SO19 2,SEPD,LV,1,43,7.85
SO19 8,SEPD,LV,1,43,7.85
IV54 8,SHEPD,HV,1,12,7.82
PO9 2,SEPD,LV,1,13,7.81
PA34 4,SHEPD,"LV,PSI",4,33,7.78
RG7 5,SEPD,PSI,3,68,7.77
RG27 0,SEPD,"HV,LV",3,188,7.72
PO21 3,SEPD,LV,2,52,7.7
SO20 6,SEPD,"HV,PSI",3,349,7.64
BH20 5,SEPD,"HV,LV,PSI",6,9472,7.6
BA9 8,SEPD,"HV,PSI",4,351,7.57
PA33 1,SHEPD,"HV,LV,PSI",3,77,7.57
SP8 5,SEPD,PSI,2,48,7.5
OX13 6,SEPD,LV,1,21,7.48
PO22 8,SEPD,PSI,1,2,7.46
OX14 2,SEPD,"LV,PSI",4,157,7.38
SO51 0,SEPD,"LV,PSI",3,9,7.36
OX10 9,SEPD,HV,1,275,7.33
PO36 0,SEPD,"LV,PSI",4,215,7.32
OX5 2,SEPD,"HV,PSI",3,78,7.28
RG23 7,SEPD,PSI,3,92,7.28
GL54 4,SEPD,"HV,LV",3,63,7.19
BH15 3,SEPD,LV,2,16,7.13
PO15 7,SEPD,HV,1,1588,7.12
GU9 8,SEPD,"HV,LV,PSI",3,498,7.1
SN16 9,SEPD,PSI,2,88,7.05
GU7 3,SEPD,"LV,PSI",2,502,7.04
IV1 1,SHEPD,PSI,2,24,7.01
RG7 4,SEPD,PSI,3,32,6.96
PA78 6,SHEPD,HV,1,12,6.94
SN10 4,SEPD,PSI,1,30,6.93
PO40 9,SEPD,LV,1,38,6.9
