postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
SP8 4,SEPD,LV,1,9,35.6
BA15 1,SEPD,LV,3,31,34.42
SN12 6,SEPD,LV,2,16,31.17
SN5 8,SEPD,LV,4,93,30.1
OX10 9,SEPD,"HV,LV",3,75,29.24
SL5 9,SEPD,"LV,PSI",2,18,28.79
UB2 4,SEPD,LV,2,40,28.66
BH23 7,SEPD,PSI,1,2,27.85
BH23 8,SEPD,PSI,1,2,27.85
HP12 4,SEPD,LV,1,8,27.04
UB8 2,SEPD,LV,2,39,26.21
RG10 8,SEPD,"HV,LV",3,86,25.37
OX10 0,SEPD,"HV,LV",3,75,25.17
IV2 6,SHEPD,"HV,PSI",9,389,20.63
SL1 2,SEPD,LV,2,57,20.58
BA14 0,SEPD,LV,1,18,20.3
TW7 6,SEPD,LV,1,59,20.25
BA22 8,SEPD,"HV,PSI",7,545,19.77
SL6 2,SEPD,HV,2,2005,19.16
W5 2,SEPD,"LV,PSI",5,388,18.78
HP15 7,SEPD,LV,1,10,18.44
DT11 7,SEPD,LV,4,90,18.21
DT9 5,SEPD,HV,2,217,17.87
SL4 3,SEPD,LV,1,28,17.37
SL4 4,SEPD,LV,1,28,17.37
W13 8,SEPD,LV,1,28,17.37
SN1 5,SEPD,LV,2,20,17.33
PO9 3,SEPD,LV,1,12,16.28
PO12 4,SEPD,LV,2,30,16.17
SO40 2,SEPD,"HV,LV,PSI",5,223,16.07
BA20 2,SEPD,LV,1,4,15.87
OX20 1,SEPD,LV,1,10,15.59
UB1 3,SEPD,LV,3,75,15.56
OX9 7,SEPD,LV,1,26,15.56
SO23 9,SEPD,LV,1,9,15.56
W3 0,SEPD,LV,2,38,15.11
W13 9,SEPD,LV,3,50,14.46
IV15 9,SHEPD,"LV,PSI",3,56,14.3
OX7 5,SEPD,HV,1,24,13.61
RG26 5,SEPD,PSI,4,503,13.22
RG40 1,SEPD,LV,2,84,12.65
GU29 9,SEPD,LV,1,17,12.24
ZE2 9,SHEPD,"LV,PSI",3,11,11.7
UB4 0,SEPD,LV,1,39,11.7
W13 0,SEPD,LV,1,13,11.7
SN14 6,SEPD,HV,2,157,11.5
PH33 7,SHEPD,PSI,2,27,11.42
DT3 6,SEPD,LV,3,68,11.39
SO14 3,SEPD,LV,1,11,11.36
HS2 0,SHEPD,"HV,PSI",4,968,11.09
RG40 5,SEPD,LV,1,26,10.85
BA10 0,SEPD,LV,1,17,10.81
BH9 3,SEPD,LV,2,50,10.52
GU18 5,SEPD,LV,1,17,9.7
SN15 2,SEPD,HV,1,2,9.39
SO19 2,SEPD,LV,2,68,9.13
SL0 9,SEPD,LV,1,6,9.08
SL3 6,SEPD,LV,1,6,9.08
BH22 0,SEPD,"LV,PSI",3,45,9.06
BH14 8,SEPD,LV,1,8,8.75
OX7 4,SEPD,"HV,LV,PSI",3,43,8.72
IV4 7,SHEPD,"HV,PSI",4,114,8.44
SN4 0,SEPD,"HV,PSI",2,63,8.38
SN7 8,SEPD,"HV,PSI",3,93,8.0
RG31 6,SEPD,"LV,PSI",2,65,7.9
SN13 9,SEPD,"LV,PSI",2,18,7.9
SN16 0,SEPD,HV,2,157,7.9
SO43 7,SEPD,HV,1,122,7.85
SO51 6,SEPD,HV,1,122,7.85
FK17 8,SHEPD,"HV,PSI",4,77,7.82
BA13 3,SEPD,"LV,PSI",2,51,7.68
BH20 6,SEPD,LV,1,7,7.67
BH21 5,SEPD,HV,1,195,7.55
PO18 8,SEPD,PSI,1,17,7.55
PO18 9,SEPD,PSI,1,17,7.55
SN14 7,SEPD,PSI,1,28,7.55
SN14 8,SEPD,PSI,1,28,7.55
DD5 3,SHEPD,"LV,PSI",4,45,7.4
PO18 0,SEPD,LV,1,10,7.4
PO38 1,SEPD,"LV,PSI",4,171,7.16
W5 3,SEPD,"LV,PSI",3,310,7.15
GU27 3,SEPD,HV,2,164,7.15
GU31 4,SEPD,LV,2,46,7.15
PO15 6,SEPD,HV,1,2,7.15
BA8 0,SEPD,LV,1,4,6.7
RG12 7,SEPD,LV,3,67,6.65
PO14 3,SEPD,LV,1,38,6.64
W3 7,SEPD,LV,1,24,6.64
PO14 1,SEPD,LV,4,120,6.47
GU9 8,SEPD,LV,2,46,6.47
GU9 7,SEPD,LV,1,29,6.47
SN3 3,SEPD,LV,2,11,6.46
SO24 0,SEPD,"LV,PSI",2,28,6.44
SP3 6,SEPD,"LV,PSI",2,12,6.3
OX1 3,SEPD,LV,2,12,5.67
SN11 0,SEPD,"HV,LV",2,53,5.5
SN2 1,SEPD,LV,1,21,5.47
RG7 2,SEPD,PSI,1,319,5.32
DD2 5,SHEPD,PSI,1,10,4.78
HP10 0,SEPD,"HV,PSI",3,321,4.76
UB5 5,SEPD,LV,4,56,4.67
OX5 2,SEPD,LV,1,10,4.67
RG8 0,SEPD,LV,1,4,4.67
TW19 7,SEPD,LV,1,9,4.67
SP5 4,SEPD,HV,2,148,4.41
GU35 0,SEPD,LV,1,39,4.41
GU8 5,SEPD,"LV,PSI",3,41,4.27
SO40 7,SEPD,"HV,LV",3,159,4.27
HP13 5,SEPD,LV,2,27,4.23
GL7 5,SEPD,HV,1,198,4.23
GL7 6,SEPD,HV,1,198,4.23
SN6 6,SEPD,HV,1,198,4.23
BH4 8,SEPD,LV,2,68,4.07
GU46 6,SEPD,LV,2,35,4.07
PA29 6,SHEPD,"HV,LV,PSI",5,130,3.95
DT2 9,SEPD,"HV,PSI",3,93,3.95
IV2 4,SHEPD,PSI,2,321,3.95
KW17 2,SHEPD,"HV,PSI",2,967,3.95
KY13 9,SHEPD,"HV,PSI",2,76,3.95
OX12 8,SEPD,PSI,2,68,3.95
RG8 7,SEPD,"LV,PSI",2,47,3.95
SP10 4,SEPD,"LV,PSI",2,24,3.95
AB12 5,SHEPD,HV,1,83,3.95
AB14 0,SHEPD,HV,1,83,3.95
DD11 4,SHEPD,PSI,1,41,3.95
FK16 6,SHEPD,PSI,1,13,3.95
FK8 3,SHEPD,PSI,1,13,3.95
GU35 9,SEPD,HV,1,423,3.95
IV20 1,SHEPD,PSI,1,8,3.95
KY13 0,SHEPD,PSI,1,46,3.95
KY13 7,SHEPD,PSI,1,46,3.95
OX10 6,SEPD,PSI,1,9,3.95
PA38 4,SHEPD,PSI,1,41,3.95
RG8 8,SEPD,PSI,1,51,3.95
SN11 9,SEPD,LV,1,35,3.95
SN13 0,SEPD,LV,1,8,3.95
SN7 7,SEPD,PSI,1,3,3.95
SN8 2,SEPD,PSI,1,3,3.95
SP10 3,SEPD,PSI,1,2,3.95
SP6 1,SEPD,PSI,1,17,3.95
HP10 8,SEPD,LV,1,10,3.9
BA14 8,SEPD,LV,3,86,3.87
SL8 5,SEPD,"HV,LV,PSI",3,181,3.87
KW15 1,SHEPD,PSI,2,15,3.87
PH32 4,SHEPD,"HV,LV",2,121,3.87
BA12 7,SEPD,PSI,1,26,3.87
BH23 2,SEPD,PSI,1,8,3.87
IV1 1,SHEPD,HV,1,117,3.87
PH10 6,SHEPD,PSI,1,12,3.87
PH35 4,SHEPD,HV,1,117,3.87
BH8 9,SEPD,LV,1,23,3.85
GU16 8,SEPD,LV,1,5,3.85
SN4 7,SEPD,PSI,3,27,3.82
KW10 6,SHEPD,PSI,1,10,3.82
PO38 2,SEPD,LV,1,11,3.82
SN3 4,SEPD,PSI,1,10,3.82
SN4 9,SEPD,PSI,1,41,3.82
BA13 4,SEPD,"HV,LV",2,358,3.81
BN18 0,SEPD,"HV,PSI",4,193,3.62
BA22 7,SEPD,PSI,3,262,3.62
G63 0,SHEPD,"LV,PSI",3,256,3.62
PH3 1,SHEPD,"HV,PSI",2,6,3.62
BA11 3,SEPD,PSI,1,41,3.62
BA11 4,SEPD,PSI,1,41,3.62
DT9 3,SEPD,LV,1,41,3.61
DT9 4,SEPD,LV,1,41,3.61
RG1 3,SEPD,LV,1,5,3.61
RG6 1,SEPD,LV,1,5,3.61
SN2 2,SEPD,LV,1,30,3.61
PH6 2,SHEPD,PSI,1,25,3.54
BH24 1,SEPD,LV,3,65,3.46
IV36 2,SHEPD,"LV,PSI",2,14,3.29
IV36 0,SHEPD,PSI,1,5,3.29
SO20 6,SEPD,PSI,2,9,3.07
DT4 8,SEPD,LV,1,44,2.79
GU52 7,SEPD,LV,1,11,2.76
SN10 3,SEPD,LV,1,17,2.76
W5 4,SEPD,LV,1,13,2.76
SN10 2,SEPD,"LV,PSI",2,56,2.62
OX25 6,SEPD,HV,1,10,2.62
OX3 0,SEPD,LV,1,24,2.62
RG10 9,SEPD,HV,1,66,2.62
SL7 3,SEPD,LV,1,3,2.62
BH23 4,SEPD,LV,1,19,2.38
BH14 0,SEPD,LV,4,92,2.19
BH15 3,SEPD,LV,4,92,2.19
AB42 0,SHEPD,LV,1,17,2.19
GU7 1,SEPD,HV,1,54,2.19
GU8 4,SEPD,HV,1,54,2.19
OX25 4,SEPD,LV,1,9,2.19
IV30 1,SHEPD,LV,1,14,2.05
BH24 4,SEPD,LV,1,9,1.98
RG40 2,SEPD,LV,1,58,1.8
RG41 2,SEPD,LV,1,58,1.8
OX33 1,SEPD,"LV,PSI",2,21,1.76
RG17 8,SEPD,"LV,PSI",2,151,1.76
BH12 4,SEPD,PSI,1,7,1.76
IV30 5,SHEPD,HV,1,80,1.76
IV30 8,SHEPD,HV,1,80,1.76
SO40 3,SEPD,LV,2,16,0.94
IV1 2,SHEPD,"HV,PSI",4,139,0.0
PA28 6,SHEPD,"LV,PSI",4,124,0.0
HS2 9,SHEPD,HV,3,242,0.0
IV51 9,SHEPD,"HV,PSI",3,166,0.0
OX11 8,SEPD,"LV,PSI",3,26,0.0
PA23 8,SHEPD,"HV,LV",3,22,0.0
SL6 1,SEPD,"HV,LV",3,2055,0.0
BA21 4,SEPD,LV,2,56,0.0
BH24 3,SEPD,HV,2,782,0.0
BN18 9,SEPD,HV,2,89,0.0
DT11 0,SEPD,"HV,PSI",2,59,0.0
DT3 5,SEPD,LV,2,79,0.0
GL54 3,SEPD,"HV,PSI",2,423,0.0
GU10 5,SEPD,"HV,LV",2,149,0.0
GU26 6,SEPD,"LV,PSI",2,53,0.0
HS8 5,SHEPD,LV,2,6,0.0
IV2 7,SHEPD,"HV,PSI",2,111,0.0
IV27 4,SHEPD,"LV,PSI",2,18,0.0
KW14 8,SHEPD,LV,2,36,0.0
OX1 1,SEPD,"LV,PSI",2,28,0.0
OX11 0,SEPD,PSI,2,71,0.0
OX11 9,SEPD,"HV,PSI",2,34,0.0
PA20 0,SHEPD,HV,2,82,0.0
PA20 9,SHEPD,HV,2,82,0.0
PA27 8,SHEPD,HV,2,145,0.0
RG19 8,SEPD,LV,2,20,0.0
RG24 8,SEPD,LV,2,55,0.0
RG31 5,SEPD,LV,2,18,0.0
RG6 5,SEPD,LV,2,40,0.0
SN15 5,SEPD,"HV,LV",2,17,0.0
SO32 1,SEPD,"HV,PSI",2,145,0.0
