postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
RG7 4,SEPD,"HV,LV,PSI",6,226,114.01
RG7 2,SEPD,"LV,PSI",2,255,100.12
IV28 3,SHEPD,PSI,15,458,77.07
RG14 2,SEPD,"HV,LV,PSI",5,341,74.64
HP14 4,SEPD,"HV,LV,PSI",5,272,67.25
W4 2,SEPD,LV,3,72,53.45
OX1 5,SEPD,"HV,LV,PSI",9,833,50.11
BA12 6,SEPD,"HV,LV",5,3556,48.05
BH21 7,SEPD,"LV,PSI",8,187,47.93
SP3 6,SEPD,"HV,LV,PSI",6,3768,42.21
OX13 6,SEPD,"HV,LV,PSI",7,5026,36.98
BH21 3,SEPD,"LV,PSI",7,450,36.77
SL6 2,SEPD,"HV,LV",5,817,36.55
RG14 1,SEPD,"HV,LV",4,106,36.32
RG45 7,SEPD,LV,2,32,36.07
RG14 3,SEPD,LV,2,34,35.64
SN10 1,SEPD,"LV,PSI",5,73,33.79
GU27 2,SEPD,LV,5,37,33.03
OX4 4,SEPD,"HV,LV,PSI",6,416,32.6
PO1 5,SEPD,LV,6,186,32.57
BA15 2,SEPD,"LV,PSI",3,112,31.74
RG12 7,SEPD,LV,5,60,31.13
SP3 5,SEPD,"HV,PSI",4,2123,30.18
SN16 9,SEPD,"HV,LV,PSI",9,766,29.91
RG24 8,SEPD,"LV,PSI",4,127,28.16
RG30 2,SEPD,LV,2,50,28.01
PO30 2,SEPD,PSI,5,19,27.66
KW17 2,SHEPD,"HV,PSI",11,214,27.14
SO24 9,SEPD,"LV,PSI",7,229,26.73
RG12 0,SEPD,LV,2,60,26.62
RG4 6,SEPD,LV,2,18,26.5
SO32 2,SEPD,"HV,PSI",4,1024,26.31
HP10 8,SEPD,"HV,LV",3,44,26.03
OX14 2,SEPD,"HV,LV",5,351,25.99
TW15 1,SEPD,LV,1,4,25.73
TW8 0,SEPD,LV,1,48,25.33
SO31 6,SEPD,LV,5,98,25.29
SP2 8,SEPD,LV,2,47,24.71
TW20 8,SEPD,LV,2,33,24.38
RG19 8,SEPD,"HV,LV",5,63,24.29
BH20 4,SEPD,"LV,PSI",3,53,24.15
IV1 3,SHEPD,HV,1,21,24.07
PO33 4,SEPD,"LV,PSI",4,99,23.91
SO32 1,SEPD,"HV,LV,PSI",6,334,23.42
