postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
GU8 4,SEPD,PSI,2,100,493.52
UB7 0,SEPD,"LV,PSI",3,15,188.05
SP11 7,SEPD,"HV,LV,PSI",10,562,140.26
BH16 6,SEPD,PSI,24,557,101.73
RG7 3,SEPD,"HV,LV,PSI",11,473,100.67
RG19 4,SEPD,"HV,LV",5,102,72.83
SL9 0,SEPD,LV,6,66,70.48
RG12 0,SEPD,LV,5,133,62.04
SN8 1,SEPD,LV,5,54,59.06
RG40 1,SEPD,LV,10,172,58.19
PH10 7,SHEPD,"HV,LV,PSI",20,442,55.78
SL6 6,SEPD,"HV,LV,PSI",8,1430,55.78
TW7 6,SEPD,LV,11,294,53.53
BH21 3,SEPD,"LV,PSI",14,414,52.53
SL6 0,SEPD,"LV,PSI",9,163,52.2
SN16 9,SEPD,"HV,LV,PSI",6,129,50.62
SN4 7,SEPD,"HV,LV,PSI",5,1020,50.33
OX12 0,SEPD,"HV,LV",11,3724,49.63
HP13 5,SEPD,LV,8,86,48.75
OX7 4,SEPD,"HV,LV,PSI",10,942,47.99
OX13 5,SEPD,"HV,LV",4,1657,47.88
SO23 7,SEPD,"HV,LV,PSI",6,1829,47.67
SO22 6,SEPD,LV,6,119,47.1
RG20 8,SEPD,"HV,LV,PSI",8,707,45.97
IV36 2,SHEPD,"HV,LV,PSI",7,543,45.89
SN6 7,SEPD,LV,2,19,43.1
BA11 4,SEPD,"LV,PSI",4,55,41.78
HP10 9,SEPD,"HV,LV,PSI",6,894,41.54
RG45 6,SEPD,LV,5,85,40.55
PO21 5,SEPD,"HV,LV",9,162,40.53
BN18 0,SEPD,"LV,PSI",7,99,40.16
PH15 2,SHEPD,"HV,LV,PSI",7,272,39.48
DT4 7,SEPD,"HV,LV",3,204,38.69
OX2 6,SEPD,LV,2,23,38.57
GL7 5,SEPD,"HV,LV,PSI",13,401,38.53
GU34 2,SEPD,"LV,PSI",11,190,38.48
RG6 7,SEPD,"HV,LV",7,1708,38.41
BA11 2,SEPD,"LV,PSI",7,177,38.23
W7 2,SEPD,LV,1,30,38.12
RG20 4,SEPD,"HV,LV,PSI",7,230,36.7
RG7 1,SEPD,"HV,LV",6,163,36.4
UB2 5,SEPD,"HV,LV",7,960,35.64
SO30 2,SEPD,"HV,LV,PSI",10,2071,35.18
SN5 8,SEPD,"LV,PSI",6,227,35.14
BA12 6,SEPD,"HV,LV,PSI",7,87,35.01
TW16 7,SEPD,"HV,LV",7,171,34.39
RG41 5,SEPD,"HV,LV,PSI",8,1699,34.26
GU30 7,SEPD,"HV,LV,PSI",9,249,34.23
SN15 2,SEPD,"HV,LV,PSI",6,321,34.19
SO21 1,SEPD,"HV,LV,PSI",8,2250,33.99
SN3 1,SEPD,"LV,PSI",3,37,33.62
PO8 0,SEPD,"HV,LV,PSI",6,761,32.13
SO31 8,SEPD,"HV,LV",6,815,31.8
BH16 5,SEPD,"HV,LV,PSI",9,372,31.79
BH20 6,SEPD,"HV,LV,PSI",9,616,31.55
SL1 7,SEPD,LV,2,32,31.53
PO18 0,SEPD,"HV,LV,PSI",9,261,31.51
RG6 3,SEPD,LV,4,136,31.46
RG14 1,SEPD,"HV,LV",5,872,31.14
RG30 2,SEPD,LV,5,182,31.05
SL0 9,SEPD,"LV,PSI",2,40,30.91
RG19 8,SEPD,"HV,LV,PSI",6,107,30.58
SL7 1,SEPD,"HV,LV,PSI",5,1333,30.31
RG20 9,SEPD,"HV,LV,PSI",8,280,30.18
SO32 2,SEPD,"HV,PSI",9,2233,30.08
SN15 1,SEPD,LV,4,102,29.97
RG6 5,SEPD,LV,5,148,29.56
PH26 3,SHEPD,"LV,PSI",8,211,29.19
BA14 7,SEPD,"HV,LV",3,137,28.92
RG5 4,SEPD,"HV,LV,PSI",10,1674,28.84
GU11 3,SEPD,LV,3,96,28.81
OX14 1,SEPD,LV,3,42,28.78
AB42 5,SHEPD,"HV,LV,PSI",10,807,28.63
RG31 7,SEPD,LV,6,140,28.58
SO32 3,SEPD,"HV,PSI",8,3395,28.39
OX12 9,SEPD,"HV,LV",13,2251,28.19
PH22 1,SHEPD,"HV,LV,PSI",8,231,28.02
IV4 7,SHEPD,"LV,PSI",9,177,27.79
TW7 7,SEPD,LV,3,41,27.22
GU33 7,SEPD,"LV,PSI",2,35,27.15
OX49 5,SEPD,"HV,PSI",5,387,27.08
SO19 9,SEPD,LV,3,61,26.93
BH17 8,SEPD,LV,1,5,26.6
RG22 4,SEPD,"HV,LV,PSI",9,745,26.49
DT2 8,SEPD,"HV,LV,PSI",10,375,26.38
DT4 9,SEPD,"HV,LV",4,116,26.34
SO16 7,SEPD,LV,3,47,26.33
GU34 4,SEPD,"HV,LV,PSI",10,505,25.99
SO45 3,SEPD,LV,1,13,25.73
RH14 9,SEPD,"LV,PSI",6,84,25.13
SO23 9,SEPD,"HV,LV",5,242,24.92
BH20 7,SEPD,"HV,LV,PSI",9,1159,24.84
RG24 9,SEPD,LV,2,57,24.8
BH24 3,SEPD,"LV,PSI",7,139,24.72
RG7 2,SEPD,"HV,PSI",6,742,24.55
HS2 9,SHEPD,"HV,PSI",8,1595,24.43
IV12 5,SHEPD,HV,3,27,24.29
BH23 2,SEPD,"LV,PSI",3,58,24.22
SO50 9,SEPD,"HV,LV,PSI",4,1493,24.18
BH22 0,SEPD,"LV,PSI",4,160,24.11
RG26 5,SEPD,"HV,LV,PSI",7,477,23.94
PH36 4,SHEPD,"HV,PSI",3,416,23.86
OX27 8,SEPD,"HV,LV,PSI",4,853,23.84
OX1 1,SEPD,LV,4,67,23.82
PA34 4,SHEPD,"HV,LV,PSI",10,484,23.78
SO41 8,SEPD,"HV,LV",5,120,23.72
SO21 2,SEPD,"HV,LV,PSI",9,2094,23.46
RG20 5,SEPD,"LV,PSI",4,62,23.41
PO19 7,SEPD,"HV,LV,PSI",5,388,23.31
OX1 4,SEPD,"HV,LV",3,149,23.24
SN14 7,SEPD,"HV,LV",8,1333,23.15
BH23 5,SEPD,LV,3,107,23.13
PO14 1,SEPD,LV,4,25,23.12
AB12 5,SHEPD,"HV,LV,PSI",6,326,23.07
RG21 8,SEPD,LV,3,125,22.92
SO16 6,SEPD,LV,1,14,22.5
SN12 6,SEPD,LV,2,47,22.42
TW8 9,SEPD,LV,2,24,22.36
SN8 4,SEPD,"HV,LV,PSI",5,394,22.35
GU34 1,SEPD,LV,2,32,22.04
SO40 8,SEPD,"LV,PSI",3,105,21.87
RG27 8,SEPD,"HV,LV,PSI",8,646,21.84
SN14 6,SEPD,"HV,LV,PSI",7,230,21.8
ZE2 9,SHEPD,"HV,PSI",10,381,21.74
BA11 5,SEPD,"LV,PSI",4,176,21.74
SO31 6,SEPD,LV,4,58,21.62
PH1 3,SHEPD,"HV,PSI",11,615,21.6
SO15 5,SEPD,"LV,PSI",4,198,21.34
KW17 2,SHEPD,"HV,PSI",11,528,21.31
OX18 3,SEPD,LV,3,76,21.22
SN14 0,SEPD,"HV,LV,PSI",6,187,21.18
SO32 1,SEPD,"HV,LV,PSI",10,3245,21.17
SN6 6,SEPD,"LV,PSI",6,79,21.11
HP14 3,SEPD,"HV,LV,PSI",8,166,21.07
UB10 9,SEPD,LV,3,65,20.7
GU10 2,SEPD,"HV,LV,PSI",3,209,20.58
PH2 9,SHEPD,"HV,PSI",5,23,20.39
RG30 3,SEPD,"HV,LV,PSI",4,206,20.26
GU31 5,SEPD,"HV,PSI",5,326,20.24
RG41 3,SEPD,LV,2,14,20.13
SP5 5,SEPD,"HV,LV,PSI",6,121,20.05
OX4 3,SEPD,"HV,LV,PSI",8,1527,19.91
DT1 1,SEPD,LV,3,66,19.91
SN3 4,SEPD,"LV,PSI",2,49,19.8
HP14 4,SEPD,"HV,LV",2,136,19.68
HP15 6,SEPD,HV,1,123,19.68
HP16 0,SEPD,HV,1,123,19.68
HP16 9,SEPD,HV,1,123,19.68
HP27 0,SEPD,HV,1,123,19.68
SO21 3,SEPD,"HV,LV,PSI",10,2351,19.61
RG22 5,SEPD,LV,3,44,19.61
OX7 6,SEPD,"HV,PSI",6,211,19.43
GU28 9,SEPD,"HV,PSI",6,752,19.39
IV3 5,SHEPD,"LV,PSI",8,290,19.31
SO40 9,SEPD,"LV,PSI",5,81,19.25
PA38 4,SHEPD,"HV,PSI",5,206,19.1
OX7 5,SEPD,"LV,PSI",6,123,19.0
DT11 8,SEPD,PSI,6,562,18.95
SO40 2,SEPD,"LV,PSI",4,86,18.95
PO7 5,SEPD,"HV,LV",6,271,18.81
OX29 8,SEPD,"HV,PSI",2,248,18.71
SO30 0,SEPD,"HV,LV,PSI",7,166,18.65
SN1 5,SEPD,LV,2,56,18.57
