postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
PO16 0,SEPD,"LV,PSI",6,113,19.48
SP1 3,SEPD,"HV,LV,PSI",6,1188,19.48
SO16 5,SEPD,LV,1,23,19.47
PH12 8,SHEPD,"HV,LV,PSI",5,375,19.44
DT9 5,SEPD,"HV,LV,PSI",7,284,19.31
GU14 7,SEPD,"LV,PSI",5,52,19.28
SO18 3,SEPD,"LV,PSI",4,64,19.19
BA13 4,SEPD,"HV,LV,PSI",8,661,19.12
HP9 1,SEPD,"HV,LV",4,96,19.06
SO32 8,SEPD,LV,1,16,19.02
BH6 3,SEPD,"LV,PSI",8,188,19.0
OX2 6,SEPD,"LV,PSI",2,62,18.93
RG1 2,SEPD,"HV,LV",9,514,18.85
PO7 5,SEPD,"HV,LV,PSI",6,331,18.81
BA9 8,SEPD,"HV,LV,PSI",8,536,18.64
DD8 1,SHEPD,"HV,LV,PSI",15,461,18.63
RG30 2,SEPD,"HV,LV,PSI",13,606,18.61
SO40 4,SEPD,"HV,LV,PSI",7,800,18.58
SN1 5,SEPD,LV,2,56,18.57
SN2 7,SEPD,LV,5,53,18.56
RG21 3,SEPD,"HV,LV,PSI",6,751,18.5
OX29 8,SEPD,"HV,PSI",4,221,18.46
GU15 2,SEPD,"HV,LV",7,973,18.42
SL2 1,SEPD,"HV,LV,PSI",7,711,18.41
GL54 4,SEPD,"HV,LV,PSI",11,6049,18.37
HP10 8,SEPD,"HV,LV,PSI",7,1135,18.33
RG24 9,SEPD,"LV,PSI",7,141,18.19
RG24 8,SEPD,"HV,LV,PSI",8,383,18.16
RG6 4,SEPD,"LV,PSI",5,160,18.15
SP7 9,SEPD,"HV,LV,PSI",10,399,18.07
DD10 0,SHEPD,"HV,LV,PSI",9,151,18.04
DD11 4,SHEPD,"HV,PSI",9,145,17.99
SN15 4,SEPD,"HV,LV,PSI",6,156,17.92
KW15 1,SHEPD,"HV,LV,PSI",8,138,17.86
PA33 1,SHEPD,"HV,LV,PSI",7,161,17.79
OX2 7,SEPD,LV,3,114,17.59
PO39 0,SEPD,"HV,LV",5,594,17.56
SN9 6,SEPD,"HV,LV,PSI",6,247,17.54
SO23 0,SEPD,"HV,LV",7,384,17.46
RG9 5,SEPD,"HV,LV,PSI",4,266,17.45
BH12 1,SEPD,"LV,PSI",2,107,17.42
GL7 4,SEPD,"HV,LV,PSI",12,2959,17.41
OX27 7,SEPD,"HV,PSI",6,124,17.29
SP2 8,SEPD,"LV,PSI",3,48,17.24
SO18 5,SEPD,"LV,PSI",5,99,17.2
AB54 6,SHEPD,"HV,PSI",9,97,17.16
BH20 4,SEPD,"HV,LV,PSI",11,11357,17.11
PO11 9,SEPD,"HV,LV",8,199,17.1
SO19 6,SEPD,"HV,LV",5,114,17.1
PA21 2,SHEPD,"HV,PSI",6,893,17.07
BH15 3,SEPD,"HV,LV",8,216,17.06
RG2 0,SEPD,"HV,LV,PSI",8,370,16.99
AB38 7,SHEPD,"HV,LV,PSI",8,165,16.94
DD8 3,SHEPD,"HV,LV,PSI",7,123,16.91
DD2 3,SHEPD,"LV,PSI",4,231,16.9
SO15 2,SEPD,"HV,LV",4,542,16.88
UB8 2,SEPD,"HV,LV,PSI",8,276,16.83
SN15 3,SEPD,"HV,LV",5,106,16.82
PO37 7,SEPD,"LV,PSI",4,65,16.79
SO18 2,SEPD,"HV,LV",7,2645,16.67
ZE1 0,SHEPD,"HV,LV,PSI",7,1104,16.65
OX1 3,SEPD,LV,8,54,16.64
SN1 4,SEPD,"HV,LV,PSI",9,468,16.6
SL1 6,SEPD,"HV,LV",2,62,16.59
BA14 8,SEPD,"HV,LV,PSI",5,43,16.54
SP8 5,SEPD,"HV,LV,PSI",7,636,16.5
TW19 5,SEPD,"LV,PSI",2,8,16.46
OX29 0,SEPD,"HV,LV,PSI",4,134,16.44
RG26 3,SEPD,"LV,PSI",6,166,16.42
PO4 0,SEPD,LV,3,39,16.42
DT1 2,SEPD,LV,6,76,16.41
UB4 0,SEPD,LV,3,49,16.36
IV23 2,SHEPD,"HV,LV,PSI",5,131,16.32
TW16 6,SEPD,"HV,LV",5,1606,16.29
SN5 6,SEPD,LV,4,145,16.25
IV55 8,SHEPD,"HV,LV,PSI",11,848,16.15
GU27 3,SEPD,"LV,PSI",9,151,16.14
RG27 0,SEPD,"HV,LV,PSI",8,906,16.06
AB15 7,SHEPD,"HV,LV,PSI",8,6253,15.95
SO31 7,SEPD,PSI,3,359,15.93
RG42 6,SEPD,"HV,LV,PSI",8,3340,15.81
AB31 5,SHEPD,"HV,LV,PSI",7,5247,15.81
PO30 1,SEPD,"LV,PSI",4,115,15.8
PO7 7,SEPD,LV,4,49,15.75
SN2 5,SEPD,LV,4,162,15.75
SL6 8,SEPD,"HV,LV",5,670,15.7
SL1 2,SEPD,"HV,LV,PSI",12,835,15.62
PH33 6,SHEPD,"HV,LV,PSI",9,572,15.6
IV14 9,SHEPD,"HV,LV",4,216,15.6
SO19 1,SEPD,"HV,LV",3,166,15.55
GU12 4,SEPD,LV,3,26,15.49
SN12 7,SEPD,"HV,LV,PSI",7,238,15.48
SL3 7,SEPD,"HV,LV",6,1781,15.46
RG23 7,SEPD,"HV,PSI",8,912,15.37
SO41 5,SEPD,"HV,LV,PSI",9,435,15.36
BA13 3,SEPD,"LV,PSI",3,69,15.32
RG12 8,SEPD,"HV,LV,PSI",6,424,15.26
AB41 7,SHEPD,"HV,LV,PSI",8,236,15.25
SP6 1,SEPD,"HV,LV,PSI",8,188,15.25
WD3 1,SEPD,"HV,PSI",4,1993,15.16
RG6 1,SEPD,"HV,LV",4,1671,15.14
PO40 9,SEPD,"HV,LV",5,295,14.91
PO11 0,SEPD,"HV,LV,PSI",5,109,14.9
AB21 0,SHEPD,"HV,PSI",5,131,14.88
OX25 4,SEPD,"HV,LV,PSI",8,163,14.8
OX18 2,SEPD,"HV,LV,PSI",10,290,14.79
PO14 4,SEPD,"HV,LV",4,1657,14.79
IV1 1,SHEPD,"LV,PSI",5,59,14.74
BH21 5,SEPD,"HV,LV,PSI",10,1449,14.65
GU9 0,SEPD,"HV,LV,PSI",4,70,14.63
SP2 0,SEPD,LV,2,16,14.61
BA8 0,SEPD,"HV,LV,PSI",7,521,14.52
OX3 7,SEPD,"LV,PSI",4,139,14.46
NW10 6,SEPD,"HV,LV",2,362,14.35
BH1 1,SEPD,"HV,LV",4,1450,14.27
IV2 4,SHEPD,"LV,PSI",9,139,14.2
W5 2,SEPD,"HV,LV",9,5556,14.14
SL6 1,SEPD,"LV,PSI",6,115,14.13
DD4 7,SHEPD,LV,9,244,14.12
SP11 8,SEPD,"HV,LV,PSI",6,376,14.11
AB15 8,SHEPD,"HV,LV,PSI",9,5752,14.1
DD9 7,SHEPD,"HV,LV,PSI",16,1407,14.08
OX29 6,SEPD,"HV,LV",4,73,14.07
OX5 1,SEPD,"HV,LV,PSI",5,389,14.06
W4 5,SEPD,LV,2,74,14.05
BH12 5,SEPD,LV,3,63,14.02
SN13 8,SEPD,"HV,LV",4,64,13.96
SN15 5,SEPD,"HV,LV,PSI",9,365,13.95
BH8 9,SEPD,"HV,LV,PSI",6,1075,13.91
PH34 4,SHEPD,"HV,PSI",6,517,13.8
SN11 9,SEPD,"HV,LV,PSI",7,169,13.79
SP10 2,SEPD,LV,2,39,13.77
PH2 6,SHEPD,"HV,LV,PSI",6,241,13.75
SO19 0,SEPD,"HV,LV",3,150,13.72
DD4 8,SHEPD,LV,7,98,13.68
PO9 5,SEPD,"LV,PSI",5,65,13.67
AB54 7,SHEPD,"HV,LV,PSI",8,178,13.64
OX25 5,SEPD,"HV,PSI",6,80,13.57
GU46 6,SEPD,"HV,LV",2,1059,13.57
RG20 7,SEPD,"HV,LV,PSI",7,928,13.56
SO19 8,SEPD,LV,2,85,13.54
KW14 7,SHEPD,"HV,LV,PSI",11,712,13.47
SO50 8,SEPD,LV,4,73,13.44
BH8 8,SEPD,"HV,LV,PSI",7,1234,13.4
HP15 7,SEPD,LV,2,26,13.36
GU51 5,SEPD,LV,2,21,13.32
BA15 1,SEPD,"HV,LV,PSI",6,926,13.28
MK18 4,SEPD,"HV,PSI",4,1148,13.23
GU15 4,SEPD,LV,2,28,13.21
BH15 1,SEPD,"HV,LV",10,8286,13.19
SN9 5,SEPD,"HV,LV",6,319,13.19
PA32 8,SHEPD,"HV,PSI",4,114,13.16
SN5 0,SEPD,"HV,LV,PSI",4,107,13.15
BA22 9,SEPD,"HV,LV,PSI",9,450,13.11
AB12 5,SHEPD,"HV,LV,PSI",6,5429,13.08
KW11 6,SHEPD,"HV,LV",4,658,13.08
SN3 5,SEPD,"LV,PSI",5,258,13.06
DD7 6,SHEPD,"HV,LV",6,49,12.97
BH19 1,SEPD,LV,5,108,12.96
OX10 7,SEPD,"HV,LV,PSI",7,5186,12.95
PO30 4,SEPD,"LV,PSI",7,124,12.94
SP4 6,SEPD,"HV,LV,PSI",5,164,12.94
SN13 0,SEPD,"LV,PSI",9,79,12.93
PA23 8,SHEPD,"HV,LV,PSI",5,91,12.86
PO33 1,SEPD,"LV,PSI",3,130,12.85
GU27 2,SEPD,"LV,PSI",9,222,12.83
SO15 5,SEPD,LV,4,132,12.83
BH6 5,SEPD,"LV,PSI",9,170,12.8
SO41 6,SEPD,"HV,LV,PSI",7,207,12.7
IV2 5,SHEPD,"HV,LV,PSI",6,285,12.7
OX18 4,SEPD,"HV,LV,PSI",6,349,12.69
AB54 8,SHEPD,"LV,PSI",7,213,12.66
GU14 8,SEPD,"HV,LV,PSI",5,552,12.63
IV54 8,SHEPD,"HV,LV,PSI",6,677,12.56
SN5 4,SEPD,"HV,PSI",6,789,12.56
BH22 9,SEPD,"HV,LV,PSI",4,362,12.54
UB3 3,SEPD,LV,4,80,12.53
PO20 3,SEPD,"HV,LV",4,197,12.48
PA65 6,SHEPD,HV,1,6,12.46
W5 3,SEPD,"HV,LV",6,5645,12.44
SN2 1,SEPD,"HV,LV",7,2356,12.39
TW4 5,SEPD,LV,3,47,12.39
GU9 8,SEPD,"HV,LV,PSI",7,586,12.36
PO9 2,SEPD,"LV,PSI",2,16,12.27
TW16 5,SEPD,"HV,LV",6,1592,12.23
DT4 0,SEPD,"HV,LV",5,514,12.18
PH3 1,SHEPD,"LV,PSI",7,93,12.16
AB15 9,SHEPD,"HV,LV,PSI",6,5325,12.16
OX25 2,SEPD,PSI,6,66,12.15
OX26 2,SEPD,"HV,LV,PSI",10,311,12.07
GU51 2,SEPD,LV,8,143,12.06
AB55 4,SHEPD,"HV,PSI",3,120,12.0
UB6 8,SEPD,"HV,LV",5,223,11.91
UB6 0,SEPD,LV,1,19,11.91
PO32 6,SEPD,"HV,LV",3,86,11.77
SO30 3,SEPD,"HV,LV,PSI",7,1984,11.75
BA14 7,SEPD,"HV,LV,PSI",5,68,11.73
OX44 7,SEPD,"HV,LV,PSI",5,6104,11.72
PA21 8,SHEPD,"HV,PSI",3,76,11.64
SL6 4,SEPD,"LV,PSI",4,51,11.63
SN3 2,SEPD,LV,3,54,11.61
BH15 2,SEPD,"HV,LV",8,97,11.59
PA49 7,SHEPD,"HV,PSI",3,170,11.48
UB2 4,SEPD,"HV,LV",4,832,11.37
RH20 2,SEPD,HV,2,638,11.37
PO13 0,SEPD,LV,4,99,11.35
PO13 8,SEPD,LV,2,74,11.32
BH1 4,SEPD,"HV,LV,PSI",8,443,11.31
DT11 9,SEPD,"HV,LV,PSI",7,1144,11.28
RG20 5,SEPD,"HV,LV,PSI",5,1064,11.28
FK21 8,SHEPD,"HV,PSI",3,75,11.25
AB41 8,SHEPD,"HV,LV,PSI",8,212,11.24
TW14 0,SEPD,"LV,PSI",3,66,11.22
RG23 8,SEPD,"HV,LV,PSI",5,396,11.18
PO1 2,SEPD,"LV,PSI",3,51,11.14
