postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
RG26 5,SEPD,"HV,PSI",6,1750,316.38
SN26 7,SEPD,LV,3,33,80.4
SN26 8,SEPD,LV,3,33,80.4
SL2 5,SEPD,LV,2,40,55.64
SL1 3,SEPD,LV,1,24,54.62
GU52 8,SEPD,"LV,PSI",6,52,50.31
TW4 7,SEPD,LV,1,46,43.68
PH10 7,SHEPD,"LV,PSI",14,206,39.17
GU51 3,SEPD,LV,2,28,39.08
PO20 1,SEPD,"HV,LV,PSI",4,153,37.41
SN11 8,SEPD,"HV,LV,PSI",9,294,37.07
UB2 5,SEPD,LV,2,22,36.98
RG25 2,SEPD,PSI,3,182,35.55
GU24 8,SEPD,LV,2,17,34.43
GU8 4,SEPD,"HV,PSI",4,149,34.14
PO20 7,SEPD,"HV,LV,PSI",9,11543,32.24
RG12 0,SEPD,"LV,PSI",8,446,29.13
KW17 2,SHEPD,"HV,PSI",7,239,28.94
OX33 1,SEPD,LV,2,25,28.54
RG6 3,SEPD,LV,3,87,28.01
PO20 2,SEPD,HV,2,4328,27.27
GU52 0,SEPD,LV,1,19,26.78
GU52 6,SEPD,LV,1,19,26.78
SL0 0,SEPD,HV,1,18,25.48
RG24 7,SEPD,PSI,1,12,24.87
DT9 3,SEPD,LV,1,17,23.79
RG19 8,SEPD,"HV,LV",4,1713,23.69
OX44 9,SEPD,"HV,LV",2,60,23.42
BH21 2,SEPD,LV,2,32,23.04
BA11 3,SEPD,"LV,PSI",5,765,22.87
BH24 2,SEPD,PSI,7,453,22.26
BH21 6,SEPD,"LV,PSI",11,702,21.97
KW1 5,SHEPD,"HV,LV",3,234,21.92
PO21 3,SEPD,HV,1,101,21.78
W3 6,SEPD,LV,4,72,21.34
RG12 7,SEPD,"LV,PSI",9,145,20.91
BH20 5,SEPD,"HV,PSI",3,225,20.66
RG19 4,SEPD,"HV,LV",2,84,20.57
GU16 6,SEPD,"LV,PSI",2,49,20.17
SO23 8,SEPD,LV,2,33,20.09
GU34 3,SEPD,HV,4,269,20.03
OX49 5,SEPD,"HV,LV,PSI",5,179,19.81
SO32 8,SEPD,LV,1,16,19.02
SN14 7,SEPD,"HV,PSI",4,294,18.37
GU30 7,SEPD,"HV,LV",3,23,18.34
HP10 9,SEPD,LV,1,17,18.34
TW18 4,SEPD,LV,1,31,18.31
UB3 1,SEPD,LV,4,12,18.24
SO50 9,SEPD,"LV,PSI",2,27,17.84
OX2 7,SEPD,LV,3,114,17.59
PO15 6,SEPD,"LV,PSI",2,39,17.22
IV30 8,SHEPD,PSI,5,199,17.07
IV18 0,SHEPD,"LV,PSI",4,250,17.03
UB10 8,SEPD,LV,1,22,16.89
W4 2,SEPD,LV,2,58,16.81
DT2 7,SEPD,"LV,PSI",3,125,16.8
RG2 9,SEPD,LV,8,112,16.78
SO21 1,SEPD,"HV,LV,PSI",4,127,15.8
SO23 0,SEPD,"HV,LV",3,153,15.73
BH20 6,SEPD,"HV,PSI",3,343,15.69
AB38 9,SHEPD,PSI,4,66,15.19
IV36 2,SHEPD,"HV,LV,PSI",8,181,15.16
TW3 3,SEPD,LV,4,33,14.64
GU9 0,SEPD,"HV,PSI",2,55,14.63
GU10 1,SEPD,HV,1,36,14.63
BA11 1,SEPD,"LV,PSI",2,599,14.35
BA11 4,SEPD,"LV,PSI",2,599,14.35
NW10 6,SEPD,LV,1,5,14.35
GU8 6,SEPD,PSI,5,39,14.21
RH20 1,SEPD,"HV,LV",2,44,13.83
DT2 0,SEPD,"LV,PSI",3,151,13.56
HP10 0,SEPD,LV,2,33,13.54
RG7 1,SEPD,"LV,PSI",2,38,13.45
GU31 5,SEPD,"HV,PSI",5,299,13.36
RG7 4,SEPD,"HV,LV,PSI",4,822,13.33
RG7 6,SEPD,PSI,3,46,13.07
SL4 1,SEPD,LV,6,65,12.91
SL4 2,SEPD,LV,4,44,12.91
SP11 9,SEPD,"HV,LV",4,89,12.67
SO23 9,SEPD,LV,1,72,12.63
SN11 0,SEPD,"HV,LV",2,69,12.54
UB3 2,SEPD,LV,1,8,12.52
HP12 4,SEPD,LV,1,17,12.47
PA44 7,SHEPD,PSI,3,148,12.32
IV17 0,SHEPD,PSI,2,245,12.06
BA14 6,SEPD,"HV,LV",2,27,12.03
AB15 8,SHEPD,PSI,5,71,12.0
AB15 7,SHEPD,PSI,3,61,12.0
UB6 8,SEPD,LV,2,33,11.91
UB6 0,SEPD,LV,1,19,11.91
AB16 5,SHEPD,PSI,2,183,11.86
OX12 0,SEPD,LV,2,50,11.86
SO15 2,SEPD,"HV,LV",2,271,11.86
PA31 8,SHEPD,LV,1,17,11.86
RG14 5,SEPD,LV,3,45,11.71
RG19 3,SEPD,LV,1,27,11.71
SN11 9,SEPD,"LV,PSI",2,40,11.7
HP14 3,SEPD,LV,1,32,11.53
OX13 6,SEPD,"HV,LV",2,48,11.39
RH14 0,SEPD,"HV,PSI",2,178,11.32
HP15 6,SEPD,HV,2,96,11.14
SO50 4,SEPD,PSI,1,24,10.78
GU47 9,SEPD,LV,1,21,10.75
