postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
SL6 0AP,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0BG,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0DA,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0DD,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EA,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EB,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EE,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EF,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EH,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EL,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EP,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0ES,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0ET,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EU,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EX,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EY,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0EZ,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0HG,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0HH,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0HJ,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0HL,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0HQ,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0JD,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0NP,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0PR,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
SL6 0QA,SEPD,HV,1,TT2790,16,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,13.89
UB6 0EJ,SEPD,"PSI,LV",2,"253111,TT5253",263,2026-08-03T08:22:41Z,2026-08-03T15:08:36Z,13.54
UB6 0HL,SEPD,"PSI,LV",2,"253111,TT5253",263,2026-08-03T08:22:41Z,2026-08-03T15:08:36Z,13.54
UB6 0HR,SEPD,"PSI,LV",2,"253111,TT5253",263,2026-08-03T08:22:41Z,2026-08-03T15:08:36Z,13.54
UB6 0HW,SEPD,"PSI,LV",2,"253111,TT5253",263,2026-08-03T08:22:41Z,2026-08-03T15:08:36Z,13.54
UB6 0JJ,SEPD,"PSI,LV",2,"253111,TT5253",263,2026-08-03T08:22:41Z,2026-08-03T15:08:36Z,13.54
UB6 0LQ,SEPD,"PSI,LV",2,"253111,TT5253",263,2026-08-03T08:22:41Z,2026-08-03T15:08:36Z,13.54
SP8 4JS,SEPD,LV,1,TT3009,17,2026-08-01T01:09:21Z,2026-08-01T13:53:13Z,12.73
SP8 4SP,SEPD,LV,1,TT3009,17,2026-08-01T01:09:21Z,2026-08-01T13:53:13Z,12.73
SP8 4TZ,SEPD,LV,1,TT3009,17,2026-08-01T01:09:21Z,2026-08-01T13:53:13Z,12.73
OX1 5NA,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX1 5ND,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX1 5NE,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6QS,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6QT,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6QU,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6QY,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6RA,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6RF,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX13 6RG,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX14 2HX,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX14 2HY,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX14 2HZ,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
OX14 2JA,SEPD,HV,2,"TT1947,TT3686",274,2026-08-01T00:00:00Z,2026-08-01T13:53:13Z,12.14
SP3 6PU,SEPD,LV,1,TT3111,7,2026-08-01T09:27:45Z,2026-08-01T21:29:41Z,12.03
SP3 6QE,SEPD,LV,1,TT3111,7,2026-08-01T09:27:45Z,2026-08-01T21:29:41Z,12.03
SP3 6QF,SEPD,LV,1,TT3111,7,2026-08-01T09:27:45Z,2026-08-01T21:29:41Z,12.03
