postcode,network,outage_type,outage_count,outage_refs,total_customers_affected,first_seen,last_seen,time_off_supply_hours_total_approx
BA11 5AR,SEPD,LV,1,TN4959,15,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7JY,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7LE,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7LJ,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7LL,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7LN,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7LQ,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7QH,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
HP13 7QU,SEPD,LV,1,TN4268,59,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
OX14 1XY,SEPD,LV,1,TN4938,19,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
OX14 1XZ,SEPD,LV,1,TN4938,19,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
RG31 4ES,SEPD,LV,1,TN5127,18,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
RG31 4ET,SEPD,LV,1,TN5127,18,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
RG31 4EU,SEPD,LV,1,TN5127,18,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
RG31 4EX,SEPD,LV,1,TN5127,18,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
RG31 4SL,SEPD,LV,1,TN5127,18,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
SN8 1RP,SEPD,LV,1,TN5094,11,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
SN8 1RR,SEPD,LV,1,TN5094,11,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
SN8 4HR,SEPD,LV,1,TN5094,11,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
SN8 4HS,SEPD,LV,1,TN5094,11,2026-07-01T00:00:00Z,2026-07-01T06:42:02Z,6.7
GU29 0HL,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
GU29 0HP,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
GU29 0HR,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
GU29 0HS,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
GU29 0HT,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
GU29 0HU,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
OX12 7LZ,SEPD,LV,1,TN5154,11,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
OX12 7NL,SEPD,LV,1,TN5154,11,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
OX12 7NN,SEPD,LV,1,TN5154,11,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
OX12 7NW,SEPD,LV,1,TN5154,11,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
PO18 0EU,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
PO18 0HG,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
PO18 0HH,SEPD,HV,1,TN5151,57,2026-07-01T01:59:22Z,2026-07-01T06:42:02Z,4.71
